<class 'gym.spaces.tuple.Tuple'>
Tuple(Box(18,), Discrete(200))
Tuple(Box(18,), Discrete(200))
[array([0.5, 0.5, 0.5, 2.5], dtype=float32), array([0.5, 0.5, 0.5, 2.5], dtype=float32), array([5.], dtype=float32)]
12
params:
0.2
True
10000
Multi-Pass P-DQN Agent with Threshold
Actor Network MultiPassQActor(
  (layers): ModuleList(
    (0): Linear(in_features=27, out_features=128, bias=True)
    (1): Linear(in_features=128, out_features=128, bias=True)
    (2): Linear(in_features=128, out_features=3, bias=True)
  )
)
Param Network ParamActor_Threshold(
  (layers): ModuleList(
    (0): Linear(in_features=18, out_features=128, bias=True)
    (1): Linear(in_features=128, out_features=128, bias=True)
  )
  (action_parameters_output_layer): Linear(in_features=128, out_features=6, bias=True)
  (action_parameters_passthrough_layer): Linear(in_features=18, out_features=6, bias=True)
)
Actor Alpha: 0.001
Actor Param Alpha: 0.0001
Gamma: 0.9
Tau (actor): 0.1
Tau (actor-params): 0.001
Inverting Gradients: True
Replay Memory: 10000
Batch Size: 128
Initial memory: 500
epsilon_initial: 1.0
epsilon_final: 0.01
epsilon_steps: 1000
Clip Grad: 10.0
Zero Index Grads?: False
Seed: 1

Models saved successfully
0     R:23.3004 r100:23.3004
13800 R:2519.9506 r100:3552.7366
13900 R:2525.6921 r100:3318.0745
Models saved successfully
14000 R:2532.8142 r100:3522.8553
14100 R:2538.4195 r100:3323.2182
14200 R:2544.6944 r100:3429.5182
14300 R:2547.7285 r100:2978.6071
14400 R:2554.2376 r100:3485.1032
14500 R:2559.0773 r100:3256.0369
14600 R:2563.9037 r100:3263.7782
14700 R:2573.2394 r100:3936.3530
14800 R:2579.5274 r100:3503.9187
14900 R:2585.6483 r100:3491.6050
Models saved successfully
15000 R:2592.5172 r100:3616.0477
15100 R:2598.6842 r100:3523.8025
15200 R:2603.7001 r100:3361.1491
15300 R:2609.2062 r100:3446.1941
15400 R:2616.7547 r100:3771.7502
15500 R:2625.3801 r100:3953.7783
15600 R:2630.9586 r100:3495.6785
15700 R:2636.3166 r100:3472.2155
15800 R:2640.8226 r100:3348.3164
15900 R:2647.0791 r100:3635.6658
Models saved successfully
16000 R:2651.4944 r100:3353.5733
16100 R:2654.0925 r100:3069.8073
16200 R:2659.1864 r100:3479.3637
16300 R:2663.3707 r100:3341.2681
16400 R:2671.4334 r100:3985.7366
16500 R:2674.9213 r100:3246.9583
16600 R:2677.6958 r100:3135.5258
16700 R:2681.7738 r100:3358.7638
16800 R:2686.5590 r100:3485.7275
16900 R:2693.5275 r100:3864.3082
Models saved successfully
17000 R:2698.7707 r100:3584.9218
17100 R:2702.5189 r100:3339.7561
17200 R:2705.9963 r100:3300.6656
17300 R:2711.1836 r100:3603.4475
17400 R:2715.5887 r100:3477.7158
17500 R:2721.2203 r100:3701.1831
17600 R:2725.5306 r100:3479.8610
17700 R:2729.9505 r100:3507.8976
17800 R:2733.5390 r100:3368.7504
17900 R:2738.1489 r100:3558.7480
Models saved successfully
18000 R:2741.2980 r100:3305.0208
18100 R:2744.4478 r100:3311.4431
18200 R:2747.4707 r100:3294.6449
18300 R:2749.2285 r100:3069.1669
18400 R:2753.1615 r100:3472.9354
18500 R:2753.5843 r100:2831.3922
18600 R:2755.9028 r100:3184.8486
18700 R:2756.2305 r100:2817.1774
18800 R:2757.0052 r100:2901.8842
18900 R:2759.5955 r100:3246.5940
Models saved successfully
19000 R:2763.6028 r100:3521.0264
19100 R:2766.4680 r100:3310.8952
19200 R:2768.7424 r100:3203.1733
19300 R:2770.8368 r100:3172.9797
19400 R:2775.3985 r100:3655.8612
19500 R:2777.7993 r100:3243.5713
19600 R:2779.6741 r100:3145.2791
19700 R:2782.0564 r100:3249.0152
19800 R:2783.0609 r100:2980.9590
19900 R:2786.0155 r100:3371.0465

